node_id,node_type,feeder_name,lon,lat,utm_x,utm_y,attributes,block_name
NODE_0278,secondary_substation,NDALATI EX LANGATA,36.7809152,-1.3115136,253073.58,9854928.6,Substation Number=204820,SIMBOLOS_N_158
NODE_0279,secondary_substation,NDALATI EX LANGATA,36.7884357,-1.3156437,253911.24,9854472.5,Substation Number=30713B; Number of Customers=840,SIMBOLOS_N_158
NODE_0280,secondary_substation,NDALATI EX LANGATA,36.7750711,-1.313711,252423.18,9854684.96,Substation Number=G67577; Number of Customers=1058,SIMBOLOS_N_158
NODE_0281,secondary_substation,NDALATI EX LANGATA,36.7766201,-1.3141617,252595.67,9854635.25,Substation Number=101180; Number of Customers=0,SIMBOLOS_N_158
NODE_0282,secondary_substation,NDALATI EX LANGATA,36.7762079,-1.3139345,252549.76,9854660.35,Substation Number=101181; Number of Customers=0,SIMBOLOS_N_158
NODE_0283,secondary_substation,NDALATI EX LANGATA,36.7765975,-1.3147005,252593.21,9854575.66,Substation Number=101182; Number of Customers=0,SIMBOLOS_N_158
NODE_0284,secondary_substation,NDALATI EX LANGATA,36.7768543,-1.3138532,252621.72,9854669.41,Substation Number=101184; Number of Customers=0,SIMBOLOS_N_158
NODE_0285,secondary_substation,NDALATI EX LANGATA,36.7756112,-1.313798,252483.32,9854675.39,Substation Number=101185; Number of Customers=0,SIMBOLOS_N_158
NODE_0286,secondary_substation,NDALATI EX LANGATA,36.778983,-1.3075851,252858.09,9855362.95,Substation Number=01954; Number of Customers=768,SIMBOLOS_N_158
NODE_0287,secondary_substation,NDALATI EX LANGATA,36.7855161,-1.3145516,253586.1,9854593.01,Substation Number=14935; Number of Customers=395,SIMBOLOS_N_158
NODE_0288,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8117315,-1.3268056,256505.81,9853240.15,Substation Number=101193; Number of Customers=177,SIMBOLOS_N_158
NODE_0289,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8030214,-1.3274384,255536.21,9853169.29,Substation Number=101208; Number of Customers=0,SIMBOLOS_N_158
NODE_0290,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8021297,-1.3283964,255437.03,9853063.24,Substation Number=101209; Number of Customers=53,SIMBOLOS_N_158
NODE_0291,secondary_substation,KAREN HOSPITAL EX LANGATA,36.804851,-1.3271635,255739.86,9853199.88,Substation Number=189843; Number of Customers=39,SIMBOLOS_N_158
NODE_0292,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8033421,-1.329561,255572.12,9852934.54,Substation Number=108030; Number of Customers=0,SIMBOLOS_N_158
NODE_0293,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8037049,-1.3268077,255612.24,9853239.12,Substation Number=170392; Number of Customers=121,SIMBOLOS_N_158
NODE_0294,secondary_substation,SOWETO EX LANGATA,36.7401722,-1.3446941,248540.96,9851254.21,Substation Number=14498; Number of Customers=94,SIMBOLOS_N_158
NODE_0295,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8118029,-1.3285254,256513.93,9853049.92,Substation Number=45019B; Number of Customers=20,SIMBOLOS_N_158
NODE_0296,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8102377,-1.3276021,256339.59,9853151.9,Substation Number=45018B; Number of Customers=380,SIMBOLOS_N_158
NODE_0297,secondary_substation,NDALATI EX LANGATA,36.7757082,-1.3127564,252494.01,9854790.62,Substation Number=45628; Number of Customers=0,SIMBOLOS_N_158
NODE_0298,secondary_substation,NDALATI EX LANGATA,36.7871082,-1.3147834,253763.36,9854567.53,Substation Number=171146; Number of Customers=0,SIMBOLOS_N_158
NODE_0299,secondary_substation,SOWETO EX LANGATA,36.733757,-1.3375603,247826.02,9852042.67,Substation Number=30641; Number of Customers=86,SIMBOLOS_N_158
NODE_0300,secondary_substation,HARDY EX LANGATA,36.789189,-1.314992,253995.04,9854544.66,Substation Number=15695B; Number of Customers=274,SIMBOLOS_N_158
NODE_0301,secondary_substation,NDALATI EX LANGATA,36.7813874,-1.3113087,253126.13,9854951.32,Substation Number=45588; Number of Customers=60,SIMBOLOS_N_158
NODE_0302,secondary_substation,NDALATI EX LANGATA,36.78038,-1.3135382,253014.2,9854704.59,Substation Number=45641; Number of Customers=25,SIMBOLOS_N_158
NODE_0303,secondary_substation,NDALATI EX LANGATA,36.7797824,-1.3126203,252947.57,9854806.07,Substation Number=45656; Number of Customers=46,SIMBOLOS_N_158
