INCIDENCE,DESC_INCIDENCIA,DETECTION_DATE,FY,RESOLUTION_DATE,CAUSE_SUBTYPE,CAUSE_TYPE,CAUSE,CURRENT_STATUS,REGION,COUNTY,INCIDENCE_TYPE,SR_DURATION,MAX_DEMAND,AFFECTED_CUSTOMERS,INSTALATION,INSTALATION_1,PARENT,INSTALATION_TYPE,FBBU_NAME,MONTH_YEAR,DURATION_HRS,LOSS_GWHRS,LOSS_MILLION_KSH,NUMERATOR_SAIFI,NUMERATOR_SAIDI,hour,month,dow,outage_class,date,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration,heavy_rain_day,high_wind_day,is_public_holiday,is_long_weekend,days_to_next_holiday,days_since_holiday,day_of_week,day_of_year,year,is_weekend,month_sin,month_cos,dow_sin,dow_cos,hour_sin,hour_cos,season_long_dry,season_long_rains,season_short_dry,season_short_rains,max_demand_kva,affected_customers,feeder_id,total_length_km,n_secondary_subs,n_switches,avg_segment_m,bbox_area_km2,events_last_7d,events_last_30d,days_since_last,feeder_event_share,storm_index,rain_season_interaction,demand_load_factor
2962582,Sustained fault on Hardy ex Langata,2022-10-30 14:08:00,2022,2022-10-30 19:00:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,SUSTAINED FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,293,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2022,4.88333333333333,0.007355765,0.10298071,2561,12506.2166666667,14,10,6,1,2022-10-30,0.0,4.7296934,9.5,5.1761475,0,0,0,0,43,10,6,303,2022,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,3,4,0.0,0.12872340425531914,0.0,0.0,19312.8
2969246,Tree branch on the line byd AY146,2022-11-26 09:57:00,2022,2022-11-26 15:09:00,Tree Branch on Power Line,TREE/ OBJECT CONTACT,TREE BRANCH ON POWER LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,312,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,11-2022,5.2,0.00783276,0.10965864,2561,13317.2,9,11,5,3,2022-11-26,1.5000001,4.6840153,11.5,3.9738345,0,1,0,0,16,37,5,330,2022,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,4,26.0,0.12872340425531914,17.25000115,0.0,19312.8
2970507,Transient fault,2022-12-01 08:20:00,2022,2022-12-01 08:23:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,3,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,12-2022,0.05,7.5315e-05,0.00105441,2561,128.05,8,12,3,1,2022-12-01,3.3,5.5461698,12.9,3.860946,0,1,0,0,11,42,3,335,2022,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,1,4.0,0.12872340425531914,42.57,0.0,4828.2
2971597,To correct poor sag,2022-12-06 15:07:00,2022,2022-12-06 16:10:00,MV Conductor,CONDUCTORS,CONDUCTOR OFF PIN INSULATOR,Resolved,Nairobi,Nairobi West County,Non Programmed,63,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,12-2022,1.05,0.001581615,0.02214261,2561,2689.05,15,12,1,3,2022-12-06,0.4,4.4204073,9.7,4.0597754,0,0,0,0,6,47,1,340,2022,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,2,5.0,0.12872340425531914,3.88,0.0,9656.4
2988484,Incidence no: 2988484 has automatically been generated from shutdown  no: 70989,2023-02-28 10:14:00,2022,2023-02-28 16:27:00,Planned Outage,CONTROLLED INTERRUPTION,PLANNED OUTAGE MAINTENANCE,Resolved,Nairobi,Nairobi West County,Programmed,373,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,02-2023,6.21666666666667,0.009364165,0.13109831,2561,15920.8833333333,10,2,1,2,2023-02-28,0.3,5.7801385,13.7,5.4834046,0,1,0,0,38,57,1,59,2023,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,1,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,0,83.0,0.12872340425531914,4.109999999999999,0.0,0.0
2990977,Hardy ex Langata controlled to repair jumper at cable take off,2023-03-11 11:00:00,2022,2023-03-11 14:25:00,Controlled System Operation,CONTROLLED INTERRUPTION,CONTROLLED TO CARRY OUT REPAIRS,Resolved,Nairobi,Nairobi West County,Non Programmed,205,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,03-2023,3.41666666666667,0.005146525,0.07205135,2561,8750.08333333333,11,3,5,2,2023-03-11,0.0,5.249762,12.2,6.0360765,0,1,0,0,27,68,5,70,2023,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682,0,1,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,11.0,0.12872340425531914,0.0,0.0,4828.2
2991987,Zuku cable shorting power line,2023-03-16 00:52:00,2022,2023-03-16 11:37:00,Object on the line,TREE/ OBJECT CONTACT,OBJECT ON THE LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,645,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,03-2023,10.75,0.016192725,0.22669815,2561,27530.75,0,3,3,3,2023-03-16,2.8999999,4.1785164,10.1,3.1399698,0,1,0,0,22,73,3,75,2023,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0,1.0,0,1,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,2,4.0,0.12872340425531914,29.28999899,2.8999999,9656.4
2993242,Incidence no: 2993242 has automatically been generated from shutdown  no: 71445,2023-03-21 10:47:00,2022,2023-03-21 16:15:00,Planned Outage,CONTROLLED INTERRUPTION,PLANNED OUTAGE MAINTENANCE,Resolved,Nairobi,Nairobi West County,Programmed,328,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,03-2023,5.46666666666667,0.00823444,0.11528216,2561,14000.1333333333,10,3,1,2,2023-03-21,15.800001,2.886174,8.7,3.0647519,1,0,0,0,17,78,1,80,2023,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,1,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,3,5.0,0.12872340425531914,137.46000869999997,15.800001,14484.599999999999
2998128,Broken conductors,2023-04-05 15:41:00,2022,2023-04-05 18:43:00,MV Conductor,CONDUCTORS,BROKEN MV CONDUCTOR,Resolved,Nairobi,Nairobi West County,Non Programmed,182,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,04-2023,3.03333333333333,0.00456911,0.06396754,2561,7768.36666666667,15,4,2,3,2023-04-05,3.6000001,5.2924476,12.3,4.233728,0,1,0,0,2,93,2,95,2023,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.7071067811865471,-0.7071067811865479,0,1,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,3,15.0,0.12872340425531914,44.28000123,3.6000001,14484.599999999999
3003531,Sustained fault on Hardy ex Langata.,2023-04-25 18:44:00,2022,2023-04-25 19:52:00,Tree Branch on Power Line,TREE/ OBJECT CONTACT,TREE BRANCH ON POWER LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,68,1506.3,2649,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,04-2023,1.13333333333333,0.00170714,0.02389996,2649,3002.2,18,4,1,3,2023-04-25,23.800003,3.901282,12.6,2.6898472,1,1,0,0,6,4,1,115,2023,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,1,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,20.0,0.12872340425531914,299.88003779999997,23.800003,4828.2
