segment_id,feeder_name,lon_start,lat_start,lon_end,lat_end,length_m,polyline_idx
SEG_00154,KAREN HOSPITAL EX LANGATA,36.8103345,-1.326774,36.8109567,-1.3271867,82.96,77
SEG_00155,KAREN HOSPITAL EX LANGATA,36.8109567,-1.3271867,36.8115088,-1.3275466,73.23,77
SEG_00156,NDALATI EX LANGATA,36.7783407,-1.313342,36.778644,-1.3134203,34.86,156
SEG_00157,SOWETO EX LANGATA,36.758453,-1.3612264,36.757725,-1.3613391,82.0,17
SEG_00158,SOWETO EX LANGATA,36.757725,-1.3613391,36.757725,-1.3613391,0.0,17
SEG_00159,SOWETO EX LANGATA,36.757725,-1.3613391,36.7560294,-1.3616015,190.99,17
SEG_00160,SOWETO EX LANGATA,36.7560294,-1.3616015,36.7553925,-1.3616951,71.66,17
SEG_00161,SOWETO EX LANGATA,36.7553925,-1.3616951,36.7553925,-1.3616951,0.0,17
SEG_00162,SOWETO EX LANGATA,36.7553925,-1.3616951,36.7553656,-1.3614907,22.8,18
SEG_00163,SOWETO EX LANGATA,36.7553656,-1.3614907,36.7550882,-1.3614973,30.89,18
SEG_00164,SOWETO EX LANGATA,36.7550882,-1.3614973,36.7550521,-1.3611615,37.36,18
SEG_00165,SOWETO EX LANGATA,36.7550521,-1.3611615,36.7549638,-1.3604251,82.05,18
SEG_00166,NDALATI EX LANGATA,36.780994,-1.3133103,36.7806224,-1.3134453,43.99,166
SEG_00167,NDALATI EX LANGATA,36.7793724,-1.312432,36.779424,-1.312752,35.86,167
SEG_00168,NDALATI EX LANGATA,36.7796507,-1.3129337,36.7797824,-1.3126203,37.63,168
SEG_00169,NDALATI EX LANGATA,36.7813324,-1.313752,36.7814774,-1.3136453,20.0,169
SEG_00170,NDALATI EX LANGATA,36.7781957,-1.3132587,36.7783407,-1.313342,18.59,170
SEG_00171,NDALATI EX LANGATA,36.7781957,-1.3132587,36.7781357,-1.3134753,24.88,171
SEG_00172,NDALATI EX LANGATA,36.7817174,-1.3134103,36.7815874,-1.313247,23.15,172
SEG_00173,NDALATI EX LANGATA,36.7814774,-1.3136453,36.7817174,-1.3134103,37.28,173
SEG_00174,NDALATI EX LANGATA,36.781084,-1.3132187,36.780994,-1.3133103,14.26,174
SEG_00175,NDALATI EX LANGATA,36.780889,-1.3139203,36.7809307,-1.313692,25.68,175
SEG_00176,NDALATI EX LANGATA,36.7815574,-1.312482,36.7813757,-1.3128453,44.99,176
SEG_00177,KUWINDA EX LANGATA,36.7811671,-1.3296827,36.7811909,-1.329726,5.48,177
SEG_00178,NDALATI EX LANGATA,36.783876,-1.322745,36.783876,-1.322745,0.0,44
SEG_00179,NDALATI EX LANGATA,36.783876,-1.322745,36.7841425,-1.3228315,31.18,44
SEG_00180,NDALATI EX LANGATA,36.7841425,-1.3228315,36.7844081,-1.3229197,31.14,45
SEG_00181,NDALATI EX LANGATA,36.7844081,-1.3229197,36.7845595,-1.322967,17.65,45
SEG_00182,NDALATI EX LANGATA,36.7769074,-1.3127887,36.7767157,-1.3126237,28.08,182
SEG_00183,NDALATI EX LANGATA,36.7774707,-1.312942,36.7771674,-1.3128753,34.57,183
SEG_00184,NDALATI EX LANGATA,36.7756525,-1.3138081,36.7756114,-1.3137981,4.71,184
SEG_00185,NDALATI EX LANGATA,36.7756525,-1.3138081,36.7754348,-1.3137566,24.9,61
SEG_00186,NDALATI EX LANGATA,36.7754348,-1.3137566,36.7752061,-1.3137031,26.13,62
SEG_00187,NDALATI EX LANGATA,36.7752061,-1.3137031,36.7751347,-1.3137076,7.97,62
SEG_00188,SOWETO EX LANGATA,36.7512392,-1.3479923,36.7502142,-1.3478469,115.24,47
SEG_00189,SOWETO EX LANGATA,36.7502142,-1.3478469,36.7493148,-1.3477151,101.19,47
SEG_00190,SOWETO EX LANGATA,36.7493148,-1.3477151,36.7484289,-1.3475916,99.57,47
SEG_00191,SOWETO EX LANGATA,36.7484289,-1.3475916,36.7474688,-1.3474637,107.82,47
